Reaction name	!	Stoichiometry	!	Enzyme discription	!	Compartment	!	Subsystem(Pathway)	!	Gene
DAMPtex	!	DAMP_E  <-> DAMP_P	!	dAMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DAPabcpp	!	26DAP_M_P  + ATP_C  + H2O_C  -> 26DAP_M_C  + ADP_C  + H_C  + PI_C	!	M-diaminopimelic acid ABC transport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
DAPAL	!	23DAPPA + H2O -> 2* NH4 + PYR	!	2,3-diaminopropionate amonnia lyase	!	Cytosol	!	Alternate Carbon Metabolism	!	b2871
DAPDC	!	26DAP_M + H -> CO2 + LYS_L	!	diaminopimelate decarboxylase	!	Cytosol	!	Threonine and Lysine Metabolism	!	b2838
DAPE	!	26DAP_LL <-> 26DAP_M	!	diaminopimelate epimerase	!	Cytosol	!	Threonine and Lysine Metabolism	!	b3809
DAPtex	!	15DAP_E  <-> 15DAP_P	!	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DASYN120	!	CTP + H + PA120 -> CDPDDDECG + PPI	!	CDP-diacylglycerol synthetase (n-C12:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b0175
DASYN140	!	CTP + H + PA140 -> CDPDTDECG + PPI	!	CDP-diacylglycerol synthetase (n-C14:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b0175
DASYN141	!	CTP + H + PA141 -> CDPDTDEC7EG + PPI	!	CDP-diacylglycerol synthetase (n-C14:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b0175
DASYN160	!	CTP + H + PA160 -> CDPDHDECG + PPI	!	CDP-diacylglycerol synthetase (n-C16:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b0175
DASYN161	!	CTP + H + PA161 -> CDPDHDEC9EG + PPI	!	CDP-diacylglycerol synthetase (n-C16:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b0175
DASYN180	!	CTP + H + PA180 -> CDPDODECG + PPI	!	CDP-diacylglycerol synthetase (n-C18:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b0175
DASYN181	!	CTP + H + PA181 -> CDPDODEC11EG + PPI	!	CDP-diacylglycerol synthetase (n-C18:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b0175
DATPHs	!	DATP + H + H2O -> DITP + NH4	!	dATP amine hydrolysis (spontaneous)	!	Cytosol	!	Nucleotide Salvage Pathway	!	s0001
DB4PS	!	RU5P_D -> DB4P + FOR + H	!	3,4-Dihydroxy-2-butanone-4-phosphate synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b3041
DBTS	!	ATP + CO2 + DANN -> ADP + DTBT + 3* H + PI	!	dethiobiotin synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0778
DCAtex	!	DCA_E  <-> DCA_P	!	Decanoate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DCMPtex	!	DCMP_E  <-> DCMP_P	!	dCMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DCTPD	!	DCTP + H + H2O -> DUTP + NH4	!	dCTP deaminase	!	Cytosol	!	Nucleotide Salvage Pathway	!	b2065
DCYTD	!	DCYT + H + H2O -> DURI + NH4	!	deoxycytidine deaminase	!	Cytosol	!	Nucleotide Salvage Pathway	!	b2143
DCYTt2pp	!	DCYT_P  + H_P  -> DCYT_C  + H_C	!	deoxycytidine transport in via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b2393  ||  b2964 )
DCYTtex	!	DCYT_E  <-> DCYT_P	!	deoxycytidine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane	!	b0411
DDCAtexi	!	DDCA_E  -> DDCA_P	!	Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane	!	b2344
DDGALK	!	2DH3DGAL + ATP -> 2DH3DGAL6P + ADP + H	!	2-dehydro-3-deoxygalactonokinase	!	Cytosol	!	Alternate Carbon Metabolism	!	b3693
DDGLCNt2rpp	!	2DDGLCN_P  + H_P  <-> 2DDGLCN_C  + H_C	!	2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b3909
DDGLCNtex	!	2DDGLCN_E  <-> 2DDGLCN_P	!	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DDGLK	!	2DDGLCN + ATP -> 2DDG6P + ADP + H	!	2-dehydro-3-deoxygluconokinase	!	Cytosol	!	Alternate Carbon Metabolism	!	b3526
DDPA	!	E4P + H2O + PEP -> 2DDA7P + PI	!	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	!	Cytosol	!	Tyrosine, Tryptophan, and Phenylalanine Metabolism	!	( b2601  ||  b0754  ||  b1704 )
DDPGALA	!	2DH3DGAL6P <-> G3P + PYR	!	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	!	Cytosol	!	Alternate Carbon Metabolism	!	b4477
DGK1	!	ATP + DGMP <-> ADP + DGDP	!	deoxyguanylate kinase (dGMP:ATP)	!	Cytosol	!	Nucleotide Salvage Pathway	!	b3648
DGMPtex	!	DGMP_E  <-> DGMP_P	!	dGMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DGSNt2pp	!	DGSN_P  + H_P  -> DGSN_C  + H_C	!	deoxyguanosine transport in via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2964
DGSNtex	!	DGSN_E  <-> DGSN_P	!	deoxyguanosine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DHAD1	!	23DHMB -> 3MOB + H2O	!	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	b3771
DHAD2	!	23DHMP -> 3MOP + H2O	!	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	!	Cytosol	!	Valine, Leucine, and Isoleucine Metabolism	!	b3771
DHAPT	!	DHA + PEP -> DHAP + PYR	!	Dihydroxyacetone phosphotransferase	!	Cytosol	!	Alternate Carbon Metabolism	!	( b1200  &&  b1199  &&  b1198  &&  b2415  &&  b2416 )
DHAtex	!	DHA_E  <-> DHA_P	!	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DHAtpp	!	DHA_P  <-> DHA_C	!	Dihydroxyacetone transport via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	Unknown
DHBD	!	23DDHB + NAD <-> 23DHB + H + NADH	!	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0596
DHBS	!	23DHB + ATP + H -> 23DHBA + PPI	!	2,3-dihydroxybenzoate adenylate synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0594
DHBSH	!	23DHBZS + H2O -> 23DHB + SER_L	!	2,3-dihydroxybenzoylserine hydrolase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	Unknown
DHCIND	!	CENCHDDD + NAD -> DHCINNM + H + NADH	!	2,3-dihydroxycinnamate dehydrogenase	!	Cytosol	!	Alternate Carbon Metabolism	!	b2541
DHCINDO	!	DHCINNM + O2 -> H + HKNTD	!	2,3-dihydroxycinnamate 1,2-dioxygenase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0348
DHDPRy	!	23DHDP + H + NADPH -> NADP + THDP	!	dihydrodipicolinate reductase (NADPH)	!	Cytosol	!	Threonine and Lysine Metabolism	!	b0031
DHDPS	!	ASPSA + PYR -> 23DHDP + H + 2* H2O	!	dihydrodipicolinate synthase	!	Cytosol	!	Threonine and Lysine Metabolism	!	b2478
DHFR	!	DHF + H + NADPH <-> NADP + THF	!	dihydrofolate reductase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	( b0048  ||  b1606 )
DHFS	!	ATP + DHPT + GLU_L -> ADP + DHF + H + PI	!	dihydrofolate synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b2315
DHNAOT4	!	DHNA + H + OCTDP -> 2DMMQL8 + CO2 + PPI	!	1,4-dihydroxy-2-naphthoate octaprenyltransferase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b3930
DHNPA2	!	DHNPT -> 6HMHPT + GCALD	!	dihydroneopterin aldolase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b3058
DHORD2	!	DHOR_S + Q8 -> OROT + Q8H2	!	dihydoorotic acid dehydrogenase (quinone8)	!	Cytosol	!	Purine and Pyrimidine Biosynthesis	!	b0945
DHORD5	!	DHOR_S + MQN8 -> MQL8 + OROT	!	dihydroorotic acid (menaquinone-8)	!	Cytosol	!	Purine and Pyrimidine Biosynthesis	!	b0945
DHORTS	!	DHOR_S + H2O <-> CBASP + H	!	dihydroorotase	!	Cytosol	!	Purine and Pyrimidine Biosynthesis	!	b1062
DHPPD	!	CECHDDD + NAD -> DHPPPN + H + NADH	!	2,3-dihydroxyphenylpropionate dehydrogenase	!	Cytosol	!	Alternate Carbon Metabolism	!	b2541
DHPPDA2	!	25DRAPP + H + H2O -> 5APRU + NH4	!	diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0414
DHPS2	!	4ABZ + 6HMHPTPP -> DHPT + PPI	!	dihydropteroate synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b3177
DHPTDCs	!	DHPTD -> H2O + HMFURN	!	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	!	Cytosol	!	Methionine Metabolism	!	s0001
DHPTPE	!	AHDT <-> DHMPTP	!	dihydroneopterin triphosphate 2'-epimerase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b2303
DHQS	!	2DDA7P -> 3DHQ + PI	!	3-dehydroquinate synthase	!	Cytosol	!	Tyrosine, Tryptophan, and Phenylalanine Metabolism	!	b3389
DHQTi	!	3DHQ -> 3DHSK + H2O	!	3-dehydroquinate dehydratase, irreversible	!	Cytosol	!	Tyrosine, Tryptophan, and Phenylalanine Metabolism	!	b1693
DIMPtex	!	DIMP_E  <-> DIMP_P	!	dIMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DINSt2pp	!	DIN_P  + H_P  -> DIN_C  + H_C	!	deoxyinosine transport in via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2964
DINStex	!	DIN_E  <-> DIN_P	!	deoxyinosine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DKGLCNR1	!	25DKGLCN + H + NADPH -> 2DHGULN + NADP	!	2,5-diketo-D-gluconate reductase	!	Cytosol	!	Alternate Carbon Metabolism	!	( b0207  ||  b3012 )
DKGLCNR2x	!	25DKGLCN + H + NADH -> 5DGLCN + NAD	!	2,5-diketo-D-gluconate reductase (NADH)	!	Cytosol	!	Alternate Carbon Metabolism	!	b3553
DKGLCNR2y	!	25DKGLCN + H + NADPH -> 5DGLCN + NADP	!	2,5-diketo-D-gluconate reductase (NADPH)	!	Cytosol	!	Alternate Carbon Metabolism	!	b3553
DKMPPD	!	DKMPP + H2O + O2 -> 2KMB + FOR + 2* H + PI	!	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	!	Cytosol	!	Arginine and Proline Metabolism	!	Unknown
DKMPPD3	!	DKMPP + 3* H2O + 2* NAD -> 2KMB + FOR + 4* H + 2* NADH + PI	!	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	!	Cytosol	!	Arginine and Proline Metabolism	!	Unknown
D_LACt2pp	!	H_P  + LAC_D_P  <-> H_C  + LAC_D_C	!	D-lactate transport via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b3603  ||  b2975 )
D_LACtex	!	LAC_D_E  <-> LAC_D_P	!	D-lactate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DM_4HBA	!	4HBA ->	!	Sink needed to allow 4-hydroxy-benzoate to leave system	!	Cytosol	!		!	Unknown
DM_5DRIB	!	5DRIB ->	!	Sink needed to allow 5'-deoxyribose to leave system	!	Cytosol	!		!	Unknown
DM_AACALD	!	AACALD ->	!	Sink needed to allow aminoacetaldehyde to leave system	!	Cytosol	!		!	Unknown
DM_HMFURN	!	HMFURN ->	!	Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system	!	Cytosol	!		!	Unknown
DM_OXAM	!	OXAM ->	!	Sink needed to allow oxamate to leave system	!	Cytosol	!		!	Unknown
DMATT	!	DMPP + IPDP -> GRDP + PPI	!	dimethylallyltranstransferase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0421
DMPPS	!	H + H2MB4P + NADH -> DMPP + H2O + NAD	!	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0029
DMQMT	!	2OMHMBL + AMET -> AHCYS + H + Q8H2	!	3-Dimethylubiquinonol 3-methyltransferase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b2232
DMSOR1	!	DMSO + MQL8 -> DMS + H2O + MQN8	!	Dimethyl sulfoxide reductase (Menaquinol 8)	!	Cytosol	!	Oxidative Phosphorylation	!	( ( b1587  &&  b1588  &&  b1589  &&  b1590 )  ||  ( b0894  &&  b0895  &&  b0896 ) )
DMSOR1pp	!	DMSO_P  + MQL8_C  -> DMS_P  + H2O_P  + MQN8_C	!	Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm)	!	Intercompartmental	!	Oxidative Phosphorylation	!	( b1872  &&  b1873 )
DMSOR2	!	2DMMQL8 + DMSO -> 2DMMQ8 + DMS + H2O	!	Dimethyl sulfoxide reductase (Demethylmenaquinol 8)	!	Cytosol	!	Oxidative Phosphorylation	!	( b0894  &&  b0895  &&  b0896 )
DMSOR2pp	!	2DMMQL8_C  + DMSO_P  -> 2DMMQ8_C  + DMS_P  + H2O_P	!	Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm)	!	Intercompartmental	!	Oxidative Phosphorylation	!	( b1872  &&  b1873 )
DMSOtex	!	DMSO_E  <-> DMSO_P	!	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DMStex	!	DMS_E  <-> DMS_P	!	Dimethyl sulfide transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DNMPPA	!	DHPMP + H2O -> DHNPT + PI	!	Dihydroneopterin monophosphate dephosphorylase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	Unknown
DNTPPA	!	AHDT + H2O -> DHPMP + H + PPI	!	Dihydroneopterin triphosphate pyrophosphatase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	( b1865  ||  b0099 )
DOGULNR	!	23DOGULN + H + NADH -> 3DHGULN + NAD	!	2,3 dioxo-L-gulonate reductase	!	Cytosol	!	Alternate Carbon Metabolism	!	b3575
DOPAtex	!	DOPA_E  <-> DOPA_P	!	dopamine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DPCOAK	!	ATP + DPCOA -> ADP + COA + H	!	dephospho-CoA kinase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0103
DPR	!	2DHP + H + NADPH -> NADP + PANT_R	!	2-dehydropantoate 2-reductase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	( b0425  ||  b3774 )
DRPA	!	2DR5P -> ACALD + G3P	!	deoxyribose-phosphate aldolase	!	Cytosol	!	Alternate Carbon Metabolism	!	b4381
DSBAO1	!	DSBARD_P  + Q8_C  -> DSBAOX_P  + Q8H2_C	!	DsbA protein reoxidation reaction (aerobic)	!	Intercompartmental	!	Unassigned	!	( b3860  &&  b1185 )
DSBAO2	!	DSBARD_P  + MQN8_C  -> DSBAOX_P  + MQL8_C	!	DsbA protein reoxidation reaction (anaerobic)	!	Intercompartmental	!	Unassigned	!	( b3860  &&  b1185 )
DSBCGT	!	DSBCOX + 2* GTHRD -> DSBCRD + GTHOX	!	DsbC:glutathione thiotransferase	!	Periplasmic space	!	Unassigned	!	b2893
DSBDR	!	DSBDOX + TRDRD -> DSBDRD + TRDOX	!	DsbD reductase	!	Cytosol	!	Unassigned	!	( ( b4136  &&  b3781 )  ||  ( b4136  &&  b2582 ) )
DSBGGT	!	DSBGOX + 2* GTHRD -> DSBGRD + GTHOX	!	DsbG:glutathione thiotransferase	!	Periplasmic space	!	Unassigned	!	b0604
DSERDHr	!	NADP + SER_D <-> 2AMSA + H + NADPH	!	D-serine dehydrogenase	!	Cytosol	!	Glycine and Serine Metabolism	!	b1539
DSERt2pp	!	H_P  + SER_D_P  -> H_C  + SER_D_C	!	D-serine transport in via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b4208
DSERtex	!	SER_D_E  <-> SER_D_P	!	D-serine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DTMPK	!	ATP + DTMP <-> ADP + DTDP	!	dTMP kinase	!	Cytosol	!	Nucleotide Salvage Pathway	!	b1098
DTMPtex	!	DTMP_E  <-> DTMP_P	!	dTMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DUMPtex	!	DUMP_E  <-> DUMP_P	!	dUMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
DURIK1	!	ATP + DURI -> ADP + DUMP + H	!	deoxyuridine kinase (ATP:Deoxyuridine)	!	Cytosol	!	Nucleotide Salvage Pathway	!	b1238
DURIPP	!	DURI + PI <-> 2DR1P + URA	!	deoxyuridine phosphorylase	!	Cytosol	!	Nucleotide Salvage Pathway	!	( b4382  ||  b4384 )
DURIt2pp	!	DURI_P  + H_P  -> DURI_C  + H_C	!	deoxyuridine transport in via proton symport (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	( b2393  ||  b2964 )
DURItex	!	DURI_E  <-> DURI_P	!	deoxyuridine transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane	!	b0411
DUTPDP	!	DUTP + H2O -> DUMP + H + PPI	!	dUTP diphosphatase	!	Cytosol	!	Nucleotide Salvage Pathway	!	( b3640  ||  b2251 )
DXPRIi	!	DXYL5P + H + NADPH -> 2ME4P + NADP	!	1-deoxy-D-xylulose reductoisomerase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0173
DXPS	!	G3P + H + PYR -> CO2 + DXYL5P	!	1-deoxy-D-xylulose 5-phosphate synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0420
DXYLK	!	ATP + DXYL -> ADP + DXYL5P + H	!	1-Deoxy-D-xylulose kinase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b3564
E4PD	!	E4P + H2O + NAD <-> 4PER + 2* H + NADH	!	Erythrose 4-phosphate dehydrogenase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b2927
EAR100x	!	H + NADH + TDEC2EACP -> DCAACP + NAD	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR100y	!	H + NADPH + TDEC2EACP -> DCAACP + NADP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR120x	!	H + NADH + TDDEC2EACP -> DDCAACP + NAD	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR120y	!	H + NADPH + TDDEC2EACP -> DDCAACP + NADP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR121x	!	H + NADH + T3C5DDECEACP -> CDDEC5EACP + NAD	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR121y	!	H + NADPH + T3C5DDECEACP -> CDDEC5EACP + NADP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR140x	!	H + NADH + TMRS2EACP -> MYRSACP + NAD	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR140y	!	H + NADPH + TMRS2EACP -> MYRSACP + NADP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR141x	!	H + NADH + T3C7MRSEACP -> NAD + TDEACP	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR141y	!	H + NADPH + T3C7MRSEACP -> NADP + TDEACP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR160x	!	H + NADH + TPALM2EACP -> NAD + PALMACP	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR160y	!	H + NADPH + TPALM2EACP -> NADP + PALMACP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR161x	!	H + NADH + T3C9PALMEACP -> HDEACP + NAD	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR161y	!	H + NADPH + T3C9PALMEACP -> HDEACP + NADP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR180x	!	H + NADH + TOCTD2EACP -> NAD + OCDCAACP	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR180y	!	H + NADPH + TOCTD2EACP -> NADP + OCDCAACP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR181x	!	H + NADH + T3C11VACEACP -> NAD + OCTEACP	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR181y	!	H + NADPH + T3C11VACEACP -> NADP + OCTEACP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR40x	!	BUT2EACP + H + NADH -> BUTACP + NAD	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR40y	!	BUT2EACP + H + NADPH -> BUTACP + NADP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR60x	!	H + NADH + THEX2EACP -> HEXACP + NAD	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR60y	!	H + NADPH + THEX2EACP -> HEXACP + NADP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR80x	!	H + NADH + TOCT2EACP -> NAD + OCACP	!	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
EAR80y	!	H + NADPH + TOCT2EACP -> NADP + OCACP	!	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1288
ECA4COLIPAtex	!	ECA4COLIPA_P  -> ECA4COLIPA_E	!	enterobacterial common antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular)	!	Intercompartmental	!	Lipopolysaccharide Biosynthesis / Recycling	!	Unknown
ECA4OALpp	!	COLIPA + ECA4UND -> ECA4COLIPA + H + UDCPDP	!	enterobacterial common antigen (x4) O-antigen ligase (periplasm)	!	Periplasmic space	!	Lipopolysaccharide Biosynthesis / Recycling	!	b3622
ECAP1pp	!	2* UNAGAMUF -> ECA2UND + H + UDCPDP	!	enterobacterial common antigen polymerase (periplasm)	!	Periplasmic space	!	Lipopolysaccharide Biosynthesis / Recycling	!	( b3793  &&  b3785 )
ECAP2pp	!	ECA2UND + UNAGAMUF -> ECA3UND + H + UDCPDP	!	enterobacterial common antigen polymerase (periplasm)	!	Periplasmic space	!	Lipopolysaccharide Biosynthesis / Recycling	!	( b3793  &&  b3785 )
ECAP3pp	!	ECA3UND + UNAGAMUF -> ECA4UND + H + UDCPDP	!	enterobacterial common antigen polymerase (periplasm)	!	Periplasmic space	!	Lipopolysaccharide Biosynthesis / Recycling	!	( b3793  &&  b3785 )
ECAtpp	!	UNAGAMUF_C  -> UNAGAMUF_P	!	enterobacterial common antigen transferase (flippase, cytoplasm to periplasm)	!	Intercompartmental	!	Lipopolysaccharide Biosynthesis / Recycling	!	b3792
ECOAH1	!	3HBCOA <-> B2COA + H2O	!	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3846  ||  b2341 )
ECOAH2	!	3HHCOA <-> H2O + HX2COA	!	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3846  ||  b2341 )
ECOAH3	!	3HOCOA <-> H2O + OC2COA	!	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	!	Cytosol	!	Membrane Lipid Metabolism	!	( b3846  ||  b2341 )
